linkname,coefficient,coefficient_from_ocr,p_value,significance_level,highway,latitude,longitude,road_name,name,Link ID,Number of lanes,Speed limit (mph),Average speed (mph),Average delay (spvpm),Reliability (spvpm),Average daily flow,Length (m),Total delay (vhd),Road number,Road class,Direction,Link location,Start Width,End Width,match_method
A428 westbound exit at a minor junction between A1303 and A1198,-0.0055500534,-0.0052997,0.0,***,A428,52.2243504533722,-0.068816116337392,A428/7125/1,TMU Site 7125/1 on link A428 westbound exit at a minor junction between A1303 and A1198; GPS Ref: 532006;260216; Westbound,,1.702970297029703,67.02970297029702,57.935732673267324,11.599425742574256,2.381178217821782,11365.089108910892,2661.9943564356436,31.026564356435642,,,,,,,highway_mean
A47 eastbound between A1139 and B1167 near Thorney (west),-0.016474564,,,,A47,52.611645738874,-0.188040069836956,A47/6351/1,TMU Site 6351/1 on A47 eastbound between A1139 and B1167 near Thorney (west); GPS Ref: 522784;303080; Eastbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 eastbound between A1260 and A15 near Peterborough (west),-0.005682192,,,,A47,52.5770568539132,-0.285853575150945,A47/6352/1,TMU Site 6352/1 on link A47 eastbound between A1260 and A15 near Peterborough (west); GPS Ref: 516253;299071; Eastbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 eastbound between B1040 and B1167 near Thorney (east),0.0064909696,,,,A47,52.6235936185247,-0.07901256884177,A47/7157/1,TMU Site 7157/1 on A47 eastbound between B1040 and B1167 near Thorney (east); GPS Ref: 530130;304600; Eastbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 eastbound between B1167 near Thorney (east) and A141,-0.0026454118,,,,A47,52.6106455449022,0.03146386066619,A47/6350/1,TMU Site 6350/1 on A47 eastbound between B1167 near Thorney (east) and A141; GPS Ref: 537648;303365; Eastbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 eastbound between B1167 near Thorney (west) and B1040,0.00093605893,,,,A47,52.6245855914777,-0.115005336426832,A47/5105/2,TMU Site 5105/2 on link A47 eastbound between B1167 near Thorney (west) and B1040; GPS Ref: 527691;304646; Eastbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 westbound between A1260 and A1,-0.0042194035,,,,A47,52.5844328193545,-0.407874162157131,A47/6604/1,TMU Site 6604/1 on link A47 westbound between A1260 and A1; GPS Ref: 507967;299702; Westbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 westbound between A15 near Peterborough (west) and A1260,0.0019768972,,,,A47,52.580434152253,-0.282519095531066,A47/6353/1,TMU Site 6353/1 on link A47 westbound between A15 near Peterborough (west) and A1260; GPS Ref: 516470;299452; Westbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 westbound between B1040 and B1167 near Thorney (west),0.0037018869,,,,A47,52.6245007318183,-0.114757809220393,A47/5105/1,TMU Site 5105/1 on link A47 westbound between B1040 and B1167 near Thorney (west); GPS Ref: 527708;304637; Westbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 westbound between B1167 near Thorney (east) and B1040,0.008117524,,,,A47,52.6241542375248,-0.084203551966424,A47/7156/1,TMU Site 7156/1 on A47 westbound between B1167 near Thorney (east) and B1040; GPS Ref: 529777;304653; Westbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
A47 westbound between B198 near Wisbech (west) and A141,-0.0041138153,,,,A47,52.6367265298011,0.120385236183378,A47/6349/1,TMU Site 6349/1 on link A47 westbound between B198 near Wisbech (west) and A141; GPS Ref: 543583;306439; Westbound,,1.5984615384615384,64.12307692307692,51.665018461538466,16.04339076923077,2.899443076923077,13384.193846153847,2050.6991846153846,58.87503538461539,,,,,,,highway_mean
Cambourne Road northbound between A1198 and A428,-0.028395562,,,,Cambourne Road,52.2217279430183,-0.071755491592332,Cambourne Road/9996/2,TMU Site 9996/2 on link Cambourne Road northbound between A1198 and A428; GPS Ref: 531813;259919; Northbound,,,,,,,,,,,,,,,,no_match
Cambourne Road southbound between A428 and A1198,-0.027824445,,,,Cambourne Road,52.2218195123546,-0.070755937182054,Cambourne Road/9996/1,TMU Site 9996/1 on link Cambourne Road southbound between A428 and A1198; GPS Ref: 531881;259931; Southbound,,,,,,,,,,,,,,,,no_match
road from A11 southbound to A14 westbound,0.0033544346,,,,A14,52.2706974493189,0.44352524378954,A14/6306/1,TMU Site 6306/1 on link road from A11 southbound to A14 westbound; GPS Ref: 566823;266426; Westbound,,2.2111716621253406,70.0,61.754241144414166,7.304957765667575,2.1724114441416895,24210.298365122617,2106.115,50.134013623978205,,,,,,,highway_mean
